id,predicted
./image_dev/develop04768.jpg,1 0
./image_dev/develop02856.jpg,0 1
./image_dev/develop06168.jpg,1 0
./image_dev/develop05596.jpg,0 1
./image_dev/develop03148.jpg,0 1
./image_dev/develop03299.jpg,1 0
./image_dev/develop00117.jpg,1 0
./image_dev/develop04209.jpg,0 1
./image_dev/develop04335.jpg,0 1
./image_dev/develop05528.jpg,0 1
./image_dev/develop03732.jpg,0 1
./image_dev/develop01434.jpg,0 1
./image_dev/develop01296.jpg,0 1
./image_dev/develop01022.jpg,0 1
./image_dev/develop01278.jpg,0 1
./image_dev/develop05791.jpg,0 1
./image_dev/develop04337.jpg,0 1
./image_dev/develop03907.jpg,1 0
./image_dev/develop04250.jpg,0 1
./image_dev/develop05504.jpg,0 1
./image_dev/develop03022.jpg,0 1
./image_dev/develop05603.jpg,0 1
./image_dev/develop05779.jpg,1 0
./image_dev/develop06062.jpg,0 1
./image_dev/develop01060.jpg,0 1
./image_dev/develop05825.jpg,0 1
./image_dev/develop02849.jpg,0 1
./image_dev/develop05008.jpg,1 0
./image_dev/develop05632.jpg,0 1
./image_dev/develop02248.jpg,0 1
./image_dev/develop01303.jpg,0 1
./image_dev/develop01358.jpg,1 0
./image_dev/develop02010.jpg,0 1
./image_dev/develop02261.jpg,0 1
./image_dev/develop04514.jpg,0 1
./image_dev/develop01036.jpg,0 1
./image_dev/develop02643.jpg,0 1
./image_dev/develop01401.jpg,0 1
./image_dev/develop00270.jpg,0 1
./image_dev/develop04419.jpg,0 1
./image_dev/develop02514.jpg,0 1
./image_dev/develop03805.jpg,0 1
./image_dev/develop00392.jpg,0 1
./image_dev/develop01736.jpg,1 0
./image_dev/develop05482.jpg,1 0
./image_dev/develop01243.jpg,0 1
./image_dev/develop02872.jpg,0 1
./image_dev/develop02511.jpg,0 1
./image_dev/develop04898.jpg,0 1
./image_dev/develop05692.jpg,0 1
./image_dev/develop02990.jpg,0 1
./image_dev/develop02417.jpg,0 1
./image_dev/develop04356.jpg,0 1
./image_dev/develop06139.jpg,0 1
./image_dev/develop01002.jpg,0 1
./image_dev/develop04289.jpg,0 1
./image_dev/develop06141.jpg,0 1
./image_dev/develop02030.jpg,0 1
./image_dev/develop00654.jpg,0 1
./image_dev/develop01727.jpg,1 0
./image_dev/develop01799.jpg,0 1
./image_dev/develop03717.jpg,0 1
./image_dev/develop00089.jpg,0 1
./image_dev/develop03365.jpg,1 0
./image_dev/develop03650.jpg,0 1
./image_dev/develop04866.jpg,1 0
./image_dev/develop03220.jpg,0 1
./image_dev/develop04783.jpg,1 0
./image_dev/develop04694.jpg,0 1
./image_dev/develop01178.jpg,0 1
./image_dev/develop00672.jpg,0 1
./image_dev/develop03340.jpg,1 0
./image_dev/develop03644.jpg,0 1
./image_dev/develop04922.jpg,0 1
./image_dev/develop04498.jpg,0 1
./image_dev/develop05768.jpg,1 0
./image_dev/develop03120.jpg,0 1
./image_dev/develop01360.jpg,1 0
./image_dev/develop01237.jpg,0 1
./image_dev/develop06305.jpg,0 1
./image_dev/develop04563.jpg,0 1
./image_dev/develop04665.jpg,0 1
./image_dev/develop02441.jpg,0 1
./image_dev/develop06339.jpg,1 0
./image_dev/develop03838.jpg,1 0
./image_dev/develop01189.jpg,0 1
./image_dev/develop03352.jpg,0 1
./image_dev/develop02491.jpg,0 1
./image_dev/develop00384.jpg,0 1
./image_dev/develop01109.jpg,0 1
./image_dev/develop06356.jpg,0 1
./image_dev/develop00207.jpg,0 1
./image_dev/develop03706.jpg,0 1
./image_dev/develop04542.jpg,0 1
./image_dev/develop04484.jpg,0 1
./image_dev/develop05488.jpg,1 0
./image_dev/develop02997.jpg,0 1
./image_dev/develop01145.jpg,0 1
./image_dev/develop06326.jpg,0 1
./image_dev/develop04938.jpg,0 1
./image_dev/develop01059.jpg,0 1
./image_dev/develop06361.jpg,0 1
./image_dev/develop03765.jpg,0 1
./image_dev/develop03256.jpg,0 1
./image_dev/develop04923.jpg,0 1
./image_dev/develop03585.jpg,1 0
./image_dev/develop06265.jpg,0 1
./image_dev/develop00833.jpg,1 0
./image_dev/develop04600.jpg,0 1
./image_dev/develop04552.jpg,0 1
./image_dev/develop00720.jpg,0 1
./image_dev/develop00281.jpg,0 1
./image_dev/develop05007.jpg,1 0
./image_dev/develop02515.jpg,0 1
./image_dev/develop06153.jpg,0 1
./image_dev/develop02323.jpg,0 1
./image_dev/develop05470.jpg,1 0
./image_dev/develop04539.jpg,0 1
./image_dev/develop03268.jpg,1 0
./image_dev/develop00264.jpg,0 1
./image_dev/develop01755.jpg,0 1
./image_dev/develop05833.jpg,1 0
./image_dev/develop02929.jpg,0 1
./image_dev/develop04440.jpg,0 1
./image_dev/develop01047.jpg,0 1
./image_dev/develop04636.jpg,0 1
./image_dev/develop03583.jpg,1 0
./image_dev/develop06148.jpg,0 1
./image_dev/develop06380.jpg,0 1
./image_dev/develop00858.jpg,0 1
./image_dev/develop05844.jpg,1 0
./image_dev/develop00732.jpg,0 1
./image_dev/develop04407.jpg,0 1
./image_dev/develop04193.jpg,0 1
./image_dev/develop04238.jpg,0 1
./image_dev/develop00768.jpg,0 1
./image_dev/develop06152.jpg,0 1
./image_dev/develop04855.jpg,1 0
./image_dev/develop01458.jpg,0 1
./image_dev/develop03100.jpg,0 1
./image_dev/develop04427.jpg,0 1
./image_dev/develop03594.jpg,1 0
./image_dev/develop04294.jpg,0 1
./image_dev/develop05677.jpg,0 1
./image_dev/develop03852.jpg,1 0
./image_dev/develop02221.jpg,0 1
./image_dev/develop00316.jpg,0 1
./image_dev/develop01806.jpg,0 1
./image_dev/develop00409.jpg,0 1
./image_dev/develop03697.jpg,0 1
./image_dev/develop01397.jpg,1 0
./image_dev/develop01089.jpg,0 1
./image_dev/develop01759.jpg,0 1
./image_dev/develop00816.jpg,1 0
./image_dev/develop01372.jpg,1 0
./image_dev/develop03774.jpg,0 1
./image_dev/develop03792.jpg,0 1
./image_dev/develop04734.jpg,0 1
./image_dev/develop00183.jpg,0 1
./image_dev/develop05524.jpg,0 1
./image_dev/develop06284.jpg,0 1
./image_dev/develop02375.jpg,0 1
./image_dev/develop01939.jpg,1 0
./image_dev/develop00711.jpg,0 1
./image_dev/develop03868.jpg,1 0
./image_dev/develop06101.jpg,0 1
./image_dev/develop01103.jpg,0 1
./image_dev/develop00099.jpg,0 1
./image_dev/develop04510.jpg,0 1
./image_dev/develop00810.jpg,1 0
./image_dev/develop04150.jpg,0 1
./image_dev/develop06078.jpg,0 1
./image_dev/develop05584.jpg,0 1
./image_dev/develop03101.jpg,0 1
./image_dev/develop01884.jpg,0 1
./image_dev/develop04970.jpg,0 1
./image_dev/develop02257.jpg,0 1
./image_dev/develop02508.jpg,0 1
./image_dev/develop04367.jpg,0 1
./image_dev/develop02481.jpg,0 1
./image_dev/develop01774.jpg,0 1
./image_dev/develop03292.jpg,1 0
./image_dev/develop00106.jpg,0 1
./image_dev/develop01898.jpg,0 1
./image_dev/develop01083.jpg,0 1
./image_dev/develop01820.jpg,0 1
./image_dev/develop04867.jpg,1 0
./image_dev/develop05580.jpg,1 0
./image_dev/develop03057.jpg,0 1
./image_dev/develop02528.jpg,0 1
./image_dev/develop06264.jpg,0 1
./image_dev/develop05856.jpg,1 0
./image_dev/develop02562.jpg,1 0
./image_dev/develop04993.jpg,1 0
./image_dev/develop04329.jpg,0 1
./image_dev/develop00184.jpg,0 1
./image_dev/develop05841.jpg,1 0
./image_dev/develop05591.jpg,0 1
./image_dev/develop04227.jpg,0 1
./image_dev/develop00770.jpg,0 1
./image_dev/develop04931.jpg,0 1
./image_dev/develop02045.jpg,1 0
./image_dev/develop04660.jpg,0 1
./image_dev/develop03648.jpg,0 1
./image_dev/develop00150.jpg,1 0
./image_dev/develop04822.jpg,1 0
./image_dev/develop03680.jpg,1 0
./image_dev/develop04870.jpg,1 0
./image_dev/develop04343.jpg,0 1
./image_dev/develop06137.jpg,0 1
./image_dev/develop02941.jpg,0 1
./image_dev/develop00151.jpg,1 0
./image_dev/develop03901.jpg,0 1
./image_dev/develop02563.jpg,1 0
./image_dev/develop03261.jpg,1 0
./image_dev/develop01274.jpg,1 0
./image_dev/develop00735.jpg,0 1
./image_dev/develop06294.jpg,0 1
./image_dev/develop04192.jpg,0 1
./image_dev/develop04220.jpg,0 1
./image_dev/develop02357.jpg,0 1
./image_dev/develop00684.jpg,0 1
./image_dev/develop05533.jpg,0 1
./image_dev/develop05468.jpg,1 0
